actorId,actorName
0000190,Matthew McConaughey
0001664,James Remar
0250643,Aeryk Egan
0294070,Delphine French
0694241,Mona Powell
0110792,Andrew Broder
0001062,Jeffrey Combs
0186225,Barbara Crampton
0298268,Jonathan Fuller
0231142,Jessica Dollarhide
0764936,Massimo Sarchielli
0000378,Minnie Driver
0642374,Geraldine O'Rawe
0004787,Saffron Burrows
0001086,Alan Cumming
0641168,Brian O'Halloran
0026879,Jeff Anderson
0003870,Marilyn Ghigliotti
0819412,Lisa Spoonauer
0582939,Jason Mewes
0000008,Marlon Brando
0656768,Géraldine Pailhas
0228336,Bob Dishy
0000661,Donald Sutherland
0000319,Yancy Butler
0005052,Michael Jeter
0005269,Corin Nemec
0001802,Nancy Travis
0000902,Jim Belushi
0934179,Stuart Wilson
0610210,Krystia Mova
0891842,Jonathan Vega
0000870,Kathy Bates
0661407,Judy Parfitt
0001626,Christopher Plummer
0000657,David Strathairn
0001099,Jeff Daniels
0240565,Karen Duffy
0485950,Sihung Lung
0911096,Wang Yu-wen
0943072,Chien-Lien Wu
0945992,Kuei-Mei Yang
0151827,Sylvia Chang
0375959,David Hemblen
0337682,Calvin Green
0469808,Peter Krantz
0001127,Dana Delany
0580527,Paul Mercurio
0000101,Dan Aykroyd
0001185,Hector Elizondo
0000470,Jeffrey Jones
0000177,Kevin Kline
0000606,Jean Reno
0167388,François Cluzet
0000345,Billy Crystal
0000700,Debra Winger
0828906,Cynthia Stevenson
0557956,Richard Masur
0000211,Mimi Rogers
0001117,Bruce Davison
0658297,Joel Palmer
0267724,Bill Farmer
0005189,Jason Marsden
0005192,Kellie Martin
0667326,Rob Paulsen
0690051,Max Pomeranc
0227958,Stefano Dionisi
0959113,Elsa Zylberstein
0148142,Caroline Cellier
0059974,Marianne Basler
2783891,Doug Stone
0949788,Kristy Young
0231879,James Donadio
0387548,Deborah Hobart
0504534,Tom Lester
0309637,William Gates
0012932,Arthur Agee
0309558,Emma Gates
0309548,Curtis Gates
0012947,Sheila Agee
0001491,Melanie Lynskey
0670582,Sarah Peirse
0448712,Diana Kent
0581378,Clive Merrison
0005435,Sinbad
0367005,Phil Hartman
0002114,Kim Greist
0614448,Kim Murphy
0469103,Jeroen Krabbé
0000618,Isabella Rossellini
0824373,Johanna ter Steege
0389424,Marco Hofschneider
0325762,David Goldman
0588674,Joseph Wayne Miller
0121186,Cody Burger
0184445,Allen Covert
0625789,Tim Blake Nelson
0518821,John Lone
0001040,Joan Chen
0361757,Yoshio Harada
0793577,Yôko Shimada
0000209,Tim Robbins
0414279,Lou Jacobi
0757256,Gene Saks
0566114,Virginia McCollam
0566279,John McConnell
0000129,Tom Cruise
0000560,Nick Nolte
0258251,Estelle Eonnet
0628601,Thandiwe Newton
0319121,Seth Gilliam
0107322,John G. Brennan
0436379,Kamal Ahmed
0382676,William Hickey
0635978,Alan North
0000216,Arnold Schwarzenegger
0715622,Pamela Reed
0005516,Blair Underwood
0005272,Thomas Ian Nicholas
0000722,Joss Ackland
0539562,Art Malik
0046469,Paloma Baeza
0000166,Helen Hunt
0002062,Kathryn Erbe
0000434,Mark Hamill
0000402,Carrie Fisher
0001088,Peter Cushing
0000027,Alec Guinness
0000746,Trini Alvarado
0560093,Liesel Matthews
0111376,Eleanor Bron
0005404,Rusty Schwimmer
0539395,Arthur Malet
0734156,Crissy Rock
0891927,Vladimir Vega
0491843,Sandie Lavelle
0893004,Mauricio Venegas
0935653,Ray Winstone
0502813,Marco Leonardi
0004816,Lumi Cavazos
0868207,Regina Torné
0555227,Mario Iván Martínez
0140025,Ada Carrasco
0001644,Aidan Quinn
0001794,Henry Thomas
0001834,Damon Wayans
0000461,Michael Ironside
0081759,Bam Bam Bigelow
0086379,Joseph Blaire
0114371,Orlando Brown
0043170,Angel Aviles
0520203,Seidy Lopez
0889846,Jacob Vargas
0222591,Devine
0527514,Monica Lutton
0000886,Warren Beatty
0000031,Katharine Hepburn
0788009,Garry Shandling
0916050,Chloe Webb
0000421,Cuba Gooding Jr.
0247059,Daisy Eagan
0001291,Rupert Graves
0000545,Helen Mirren
0000372,Amanda Donohoe
0192754,Charlotte Curley
0108640,Peter Bride-Kirk
0001371,Tom Hulce
0000307,Helena Bonham Carter
0000331,Chevy Chase
0000396,Farrah Fawcett
0001841,George Wendt
0793910,David Shiner
0001404,Madeline Kahn
0458951,Robert Klein
0001439,Anthony LaPaglia
0141824,Michael Patrick Carter
0000532,Malcolm McDowell
0000277,Richard Attenborough
0001610,Elizabeth Perkins
0004743,Gil Bellows
0005196,Paul Mazursky
0001579,Edward James Olmos
1410441,Rafael Cortes
0717900,Ivette Reina
0953173,Amelia Zapata
0001110,Embeth Davidtz
0000056,Paul Newman
0001788,Jessica Tandy
0000149,Jodie Foster
0001670,Natasha Richardson
0508844,Richard Libertini
0780678,Nick Searcy
0179982,Shar-Ron Corley
0144133,Gabriel Casseus
0825627,Saul Stein
0569076,Gwen McGee
0600891,Andre Moore
0620252,Tôru Nakamura
0574337,Chad McQueen
0000227,Mira Sorvino
0497056,Conan Lee
0441537,Andreas Katsulas
0265492,Craig Fairbrass
0000167,Elizabeth Hurley
0020717,Keith Allen
0229886,Anita Dobson
0083467,Jesse Birdsall
0000624,Laura San Giacomo
0722631,Paul Rhys
0001574,Michael O'Keefe
0174192,Cristi Conaway
0001770,Fisher Stevens
0428952,O-Lan Jones
1378595,Ed White
0512610,Richard Lineback
0000673,Marisa Tomei
0654240,Rena Owen
0607325,Temuera Morrison
0449828,Mamaengaroa Kerr-Bell
0032810,Julian Arahanga
0256394,Taungaroa Emile
0000192,Alyssa Milano
0000873,Belinda Bauer
0004741,Camilla Belle
0000163,Dustin Hoffman
0000204,Natalie Portman
0032216,Peter Appel
0001244,Sadie Frost
0000143,Erika Eleniak
0503627,Michael Lerner
0001625,Amanda Plummer
0522503,Laura Lovelace
0481733,Lai Wang
0910844,Bozhao Wang
0811438,Deb Snyder
0209981,Fanny De Luz
0730070,Linus Roache
0001015,Robert Carlyle
0879154,Cathy Tyson
0789093,Lesley Sharp
0001555,Rob Morrow
0006890,Paul Scofield
0473802,Yûki Kudô
0000674,Tamlyn Tomita
0847425,Akira Takayama
0837476,Yôko Sugi
0000254,Isabelle Adjani
0000809,Daniel Auteuil
0000767,Jean-Hugues Anglade
0001641,Vincent Perez
0514059,Virna Lisi
0000128,Russell Crowe
0068551,Tobin Bell
0000393,Peter Falk
0000665,D.B. Sweeney
0000995,Ellen Burstyn
0747962,Jan Rubes
0000052,Marcello Mastroianni
0144045,Jean-Pierre Cassel
0000107,Kim Basinger
0557859,Chiara Mastroianni
0004462,Jean-Louis Trintignant
0270073,Frédérique Feder
0521051,Jean-Pierre Lorit
0494078,Samuel Le Bihan
0000300,Juliette Binoche
0753666,Benoît Régent
0674340,Florence Pernel
0904996,Charlotte Véry
0898653,Hélène Vincent
0952498,Zbigniew Zamachowski
0301515,Janusz Gajos
0836136,Jerzy Stuhr
0054270,Aleksander Bardini
0566783,Matt McCoy
0589334,Sherry Miller
0187004,Amos Crawley
